NAME,fips,% Housing Units Occupied,% Unemployment Rate,% Born in State,% <HS,% HS Grad,% Some College,% Bach Degree,% Grad Degree,% Below Pov Level,Commute Time,Median Income,Median Home Value,state_1.0,state_2.0,state_4.0,state_5.0,state_6.0,state_8.0,state_9.0,state_10.0,state_11.0,state_12.0,state_13.0,state_15.0,state_16.0,state_17.0,state_18.0,state_19.0,state_20.0,state_21.0,state_22.0,state_23.0,state_24.0,state_25.0,state_26.0,state_27.0,state_28.0,state_29.0,state_30.0,state_31.0,state_32.0,state_33.0,state_34.0,state_35.0,state_36.0,state_37.0,state_38.0,state_39.0,state_40.0,state_41.0,state_42.0,state_44.0,state_45.0,state_46.0,state_47.0,state_48.0,state_49.0,state_50.0,state_51.0,state_53.0,state_54.0,state_55.0,state_56.0
"Shelby County, Missouri",29205,0.766043614,0.022,0.765220261,0.068140571,0.293185943,0.210031348,0.081504702,0.035472694,0.14354067,57030,24523,74700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Webster County, Missouri",29225,0.919408679,0.027,0.664329605,0.085604748,0.249461688,0.204217215,0.069061499,0.040701644,0.162990389,413270,24961,127900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atchison County, Missouri",29005,0.846569787,0.021,0.647248577,0.070018975,0.294686907,0.212333966,0.123149905,0.044781784,0.10056926,44340,27294,85600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bates County, Missouri",29013,0.853723743,0.027,0.696042506,0.091791865,0.31794308,0.175949676,0.067912544,0.034628069,0.120495908,209800,26122,114500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benton County, Missouri",29015,0.560358201,0.036,0.641160672,0.108905156,0.314603191,0.243930697,0.062615198,0.040865764,0.18874085,167000,20827,116500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Linn County, Missouri",29115,0.791627616,0.016,0.770064008,0.075660594,0.315526013,0.188905301,0.07008042,0.035532578,0.148613163,106455,25797,82700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Howell County, Missouri",29091,0.872008325,0.025,0.599097302,0.086604159,0.268889332,0.212109122,0.061642811,0.050546107,0.217894369,307530,20772,104500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Johnson County, Missouri",29101,0.898598405,0.03,0.563970273,0.046154706,0.174933413,0.192516158,0.096742349,0.067313602,0.140363948,540960,24254,151100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Laclede County, Missouri",29105,0.868905878,0.04,0.66105275,0.111639958,0.266229194,0.202269975,0.072492748,0.027374884,0.147604698,297645,23753,114400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phelps County, Missouri",29161,0.871422913,0.034,0.631003148,0.076358034,0.1866753,0.176650517,0.102525174,0.081269955,0.20748398,333535,23062,129400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
